 cookie=0x0, duration=16.789s, table=0, n_packets=0, n_bytes=0, idle_age=16, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=3013 actions=output:2
 cookie=0x0, duration=16.789s, table=0, n_packets=0, n_bytes=0, idle_age=16, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=15002 actions=output:2
 cookie=0x0, duration=16.789s, table=0, n_packets=0, n_bytes=0, idle_age=16, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=2260 actions=output:2
 cookie=0x0, duration=16.789s, table=0, n_packets=0, n_bytes=0, idle_age=16, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=5357 actions=output:2
 cookie=0x0, duration=16.799s, table=0, n_packets=0, n_bytes=0, idle_age=16, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=1073 actions=output:2
 cookie=0x0, duration=16.864s, table=0, n_packets=0, n_bytes=0, idle_age=16, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=6002 actions=output:2
 cookie=0x0, duration=16.924s, table=0, n_packets=0, n_bytes=0, idle_age=16, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=9010 actions=output:2
 cookie=0x0, duration=16.924s, table=0, n_packets=0, n_bytes=0, idle_age=16, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=1007 actions=output:2
 cookie=0x0, duration=16.924s, table=0, n_packets=0, n_bytes=0, idle_age=16, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=8021 actions=output:2
 cookie=0x0, duration=16.924s, table=0, n_packets=0, n_bytes=0, idle_age=16, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=1059 actions=output:2
